 [4641/4641 1:58:21, Epoch 2/3]
Step	Training Loss
2105	0.674400
2110	0.681300
2115	0.728300
2120	0.782200
2125	0.881900
2130	0.849400
2135	0.896700
2140	0.785000
2145	0.833900
2150	0.696300
2155	0.678200
2160	0.647100
2165	0.785900
2170	0.807400
2175	0.875400
2180	0.915100
2185	0.830600
2190	0.800400
2195	0.770500
2200	0.643300
2205	0.651100
2210	0.730200
2215	0.780400
2220	0.689900
2225	0.851400
2230	0.869200
2235	0.889300
2240	0.726200
2245	0.852800
2250	0.707100
2255	0.668900
2260	0.714600
2265	0.751900
2270	0.746100
2275	0.875300
2280	0.877600
2285	0.810900
2290	0.749800
2295	0.766400
2300	0.637000
2305	0.658400
2310	0.671800
2315	0.804600
2320	0.734100
2325	0.896200
2330	0.852100
2335	0.811200
2340	0.775900
2345	0.843600
2350	0.656300
2355	0.718900
2360	0.777600
2365	0.723700
2370	0.792100
2375	0.863200
2380	0.892000
2385	0.833900
2390	0.769600
2395	0.843200
2400	0.628300
2405	0.673900
2410	0.686800
2415	0.677900
2420	0.784500
2425	0.872600
2430	0.874500
2435	0.819200
2440	0.844600
2445	0.791200
2450	0.642900
2455	0.688800
2460	0.725500
2465	0.708600
2470	0.812500
2475	0.877500
2480	0.830800
2485	0.811800
2490	0.762700
2495	0.805700
2500	0.674500
2505	0.708000
2510	0.718000
2515	0.736800
2520	0.804200
2525	0.931000
2530	0.862600
2535	0.820900
2540	0.734400
2545	0.782600
2550	0.695600
2555	0.664000
2560	0.813900
2565	0.785400
2570	0.875300
2575	0.866300
2580	0.853400
2585	0.860200
2590	0.773500
2595	0.763700
2600	0.629500
2605	0.677600
2610	0.768900
2615	0.784200
2620	0.802600
2625	0.901500
2630	0.887500
2635	0.854300
2640	0.749500
2645	0.839900
2650	0.679800
2655	0.675600
2660	0.679100
2665	0.698000
2670	0.828800
2675	0.827500
2680	0.829400
2685	0.789300
2690	0.752200
2695	0.808300
2700	0.634700
2705	0.715400
2710	0.721600
2715	0.700300
2720	0.739900
2725	0.846400
2730	0.872700
2735	0.817300
2740	0.836200
2745	0.832300
2750	0.652000
2755	0.667900
2760	0.713600
2765	0.710500
2770	0.807300
2775	0.869800
2780	0.822300
2785	0.811900
2790	0.805800
2795	0.777100
2800	0.655600
2805	0.692700
2810	0.695100
2815	0.715200
2820	0.803600
2825	0.868500
2830	0.894600
2835	0.809900
2840	0.791500
2845	0.796300
2850	0.678400
2855	0.704800
2860	0.660600
2865	0.800200
2870	0.738900
2875	0.833700
2880	0.874000
2885	0.804800
2890	0.763100
2895	0.793700
2900	0.639100
2905	0.675500
2910	0.701200
2915	0.714200
2920	0.821800
2925	0.866400
2930	0.786900
2935	0.737100
2940	0.770500
2945	0.762100
